Word base            L.key                Suffixes id          W.form key                     W.form
gdjetko              CH#PRON.NEO.CH1#     PRON.UOD.IME##tko    PRON.NEO.CH1##|S/G#1           gdjekoga
gdjetko              CH#PRON.NEO.CH1#     PRON.UOD.IME##tko    PRON.NEO.CH1##|S/D#1           gdjekom
gdjetko              CH#PRON.NEO.CH1#     PRON.UOD.IME##tko    PRON.NEO.CH1##|S/D#2           gdjekomu
gdjetko              CH#PRON.NEO.CH1#     PRON.UOD.IME##tko    PRON.NEO.CH1##|S/A#1           gdjekoga
gdjetko              CH#PRON.NEO.CH1#     PRON.UOD.IME##tko    PRON.NEO.CH1##|S/L#1           gdjekom
gdjetko              CH#PRON.NEO.CH1#     PRON.UOD.IME##tko    PRON.NEO.CH1##|S/L#2           gdjekome
gdjetko              CH#PRON.NEO.CH1#     PRON.UOD.IME##tko    PRON.NEO.CH1##|S/I#1           gdjekim
gdjetko              CH#PRON.NEO.CH1#     PRON.UOD.IME##tko    PRON.NEO.CH1##|S/I#2           gdjekime
gdješto              CH#PRON.NEO.CH1#     PRON.UOD.IME##što    PRON.NEO.CH1##|S/N#1           gdješto
gdješto              CH#PRON.NEO.CH1#     PRON.UOD.IME##što    PRON.NEO.CH1##|S/G#1           gdječega
gdješto              CH#PRON.NEO.CH1#     PRON.UOD.IME##što    PRON.NEO.CH1##|S/D#1           gdječemu
gdješto              CH#PRON.NEO.CH1#     PRON.UOD.IME##što    PRON.NEO.CH1##|S/A#1           gdječega
gdješto              CH#PRON.NEO.CH1#     PRON.UOD.IME##što    PRON.NEO.CH1##|S/L#1           gdječem
gdješto              CH#PRON.NEO.CH1#     PRON.UOD.IME##što    PRON.NEO.CH1##|S/L#2           gdječemu
gdješto              CH#PRON.NEO.CH1#     PRON.UOD.IME##što    PRON.NEO.CH1##|S/I#1           gdječim
gdješto              CH#PRON.NEO.CH1#     PRON.UOD.IME##što    PRON.NEO.CH1##|S/I#2           gdječime
gic                  FX#EXCL#DOZ          -                    -                              gic
gl.                  FX#ABBR#OTH          -                    -                              gl.
god                  FX#PART#ALL          -                    -                              god
gore                 FX#ADV#MJE.GDJE      -                    -                              gore
gosp.                FX#ABBR#N            -                    -                              gosp.
gđa.                 FX#ABBR#N            -                    -                              gđa.
gđica.               FX#ABBR#N            -                    -                              gđica.
haj                  FX#EXCL#OSJ          -                    -                              haj
